icao,name,fuels,lat,lon,avt_excerpt,error
LFAB,DIEPPE SAINT AUBIN,100LL|JET_A1,49.882500,1.085278,"← 10 - AVT : Carburant : 100 LL - JET A1 De mi-mars à mi-novembre : tous les jours 0800-1800. En dehors de cette période, PPR auprès de ""Air Libre Parachutisme"". Paiement comptant par CB ou espèces. Fuel : 100 LL - JET A1 From mid-March to mid-November : every day 0800-1800. Outside this period, PPR",
LFAC,CALAIS DUNKERQUE,100LL|JET_A1,50.960833,1.951389,"← 10 - AVT : H24 avec carte bancaire / H24 with credit card. Carburants / Fuel : 100 LL - JET A1 Paiement : espèces, chèque. HOR HIV : 0800-1700, ETE : 0700-1630. Payment : cash, bank check. HOR WIN : 0800-1700, SUM : 0700-1630.",
LFAD,COMPIEGNE MARGNY,100LL,49.433611,2.804722,← 10 - AVT : Carburant / Fuel : 100LL (gestion par / managed by ACB de Compiègne Margny). HX sauf MAR et MER / except TUE and WED O/R ACB de Compiègne Margny.,
LFAE,EU MERS LE TREPORT,UL91,50.069167,1.426667,10 - AVT : AVGAS UL91 : réservé aux ACFT basés / reserved for based ACFT .,
LFAF,LAON CHAMBRY,100LL,49.594722,3.630278,"10 - AVT : Carburants / Fuel : 100 LL, H 24 Carte TOTAL.",
LFAG,PERONNE SAINT QUENTIN,,49.868889,3.029722,10 - AVT : NIL.,
LFAI,NANGIS LES LOGES,100LL,48.596944,3.008056,"10 - AVT : Carburant / Fuel : 100 LL, Lubrifiant / Lubricant : 80 D - 100 D (CIV) HJ.",
LFAJ,ARGENTAN,100LL,48.709444,0.002778,10 - AVT : Carburants / Fuel : 100LL - Lubrifiant / Lubricant : NIL (CIV) O/R la veille à / the day before to ACB. Paiement comptant / Cash payment.,
LFAK,DUNKERQUE LES MOERES,100LL,51.039444,2.548889,"10 - AVT : Carburant / Fuel 100 LL Disponible sur présence personnel uniquement. Paiement par CB, chèque, espèces. Available on personal presence only. Payment by CB card, cheque, cash.",
LFAL,LA FLECHE THOREE LES PINS,100LL,47.692778,-0.001944,10 - AVT : Carburant / Fuel : 100 LL sur/ with PPR ACB. (CIV - MIL) Paiement comptant / Cash payment.,
LFAM,BERCK SUR MER,100LL,50.423056,1.591944,10 - AVT : Carburant / Fuel : 100LL auprès de l'ACB / contact ACB.,
LFAO,BAGNOLES DE L'ORNE COUTERNE,100LL,48.544722,-0.385000,"10 - AVT : Carburants / Fuel : 100 LL - Lubrifiants / Lubricants : NIL. Délivrance du carburant par ACB d'Andaines / Fuel dispatching by ""ACB d'Andaines"". Paiement chèque ou espèces uniquement / Cash payment or cheques only.",
LFAP,RETHEL PERTHES,,49.481111,4.363333,10 - AVT : NIL.,
LFAQ,ALBERT BRAY,100LL|JET_A1,49.970000,2.692500,"10 - AVT : Carburant / Fuel : 100LL et / and JET A1. Payables par carte Sterling (Air BP - automat) ou par CB en HOR ATS. En dehors de ces horaires, sur PPR auprès de l'exploitant AD le jour ouvrable précédent avant 1000. Avitaillement JET A1 : Pendant HOR ATS, uniquement par camion sur parking E. H",
LFAR,MONTDIDIER,,49.673056,2.569167,10 - AVT : NIL.,
LFAS,FALAISE MONTS D'ERAINES,100LL,48.926944,-0.144722,10 - AVT : Carburant / Fuel : 100 LL - (CIV-MIL) HX : paiement comptant / cash payment.,
LFAT,LE TOUQUET ELIZABETH II,100LL|JET_A1,50.514722,1.627500,"10 - AVT : Carburants / Fuel : 100LL- JET A1 / TRO, Lubrifiants / Lubricants : tous indices / all grades (CIV-MIL) HOR ATS. Oxygène sur demande. Vente de produits de dégivrage / Oxygen on request. Sale of deicing products. JET A1 Carte TOTAL/AEG/WFS ou paiement comptant au comptoir / TOTAL/AEG/WFS c",
LFAU,VAUVILLE,,49.622778,-1.830000,10 - AVT : NIL.,
LFAV,VALENCIENNES DENAIN,100LL|JET_A1,50.324722,3.465556,"10 - AVT : Carburants / Fuel : (AIR BP) 100 LL-JET A1. (CIV-MIL) Paiement comptant, carte BP / Cash payment, BP card. Lubrifiants / Lubricants : NIL.",
LFAW,VILLERUPT,,49.410556,5.889167,10 - AVT : Carburants / Fuel : 100/130 - Lubrifiant / Lubricant : 100/120 (CIV). Réservé aux aéronefs basés / Reserved for home-based ACFT.,
LFAX,MORTAGNE AU PERCHE,,48.539722,0.534167,10 - AVT : NIL.,
