icao,name,fuels,avt_excerpt
LFAE,EU MERS LE TREPORT,UL91,10 - AVT : AVGAS UL91 : réservé aux ACFT basés / reserved for based ACFT .
LFBY,DAX SEYRESSE,100LL|UL91,10 - AVT : Carburants sur demande / Fuel on request : MIL : F34 - CIV : 100 LL - UL 91 Paiement / Payment : - MIL : Carte SCALP / SCALP Card  05 58 35 93 34 - CIV : Espèces ou chèque bancaire / Cash or cheque  05 58 74 14 20
LFCH,ARCACHON LA TESTE DE BUCH,100LL|JET_A1|SUPER_PLUS|UL_AERO,"← 10 - AVT : Carburant / Fuel : UL AERO SUPER+, 100LL, JET A1. AVT automatique disponible avec carte TOTAL et CB (uniquement 100LL et AERO SUPER+). Automatic fuel dispenser available with TOTAL card and Credit Card (only for 100LL and AERO SUPER+). Non porteurs de carte, contacter la TWR pendant les"
LFCS,BORDEAUX LEOGNAN SAUCATS,100LL|UL91,← 10 - AVT : 100 LL/UL 91 PPR 06 77 63 68 41. Carte de crédit / Credit card Lubrifiants / Lubricants : NIL.
LFCU,USSEL THALAMY,100LL|SUPER_PLUS,"10 - AVT : Carburant / Fuel 100 LL. SP 98 HX. Paiement comptant ou par chèque / Cheque or cash payment. PPR pour la délivrance des carburants et paiement comptant, chèque ou carte bleue. PPR for fuel delivery and cash payment, cheque or credit card."
LFCV,VILLEFRANCHE DE ROUERGUE,100LL|SUPER_PLUS,"← 10 - AVT : Carburant / Fuel : 100LL, SP 98 - Lubrifiant / Lubricant : D 80 (CIV MIL). HJ sur / on PPR ACB."
LFDA,AIRE SUR L'ADOUR,UL91,10 - AVT : Carburant / Fuel : UL91. TEL : 07 82 77 32 56. Paiement : Carte Bancaire / Payment : Credit Card.
LFDC,MONTENDRE MARCILLAC,UL91,"10 - AVT : Carburant / Fuel UL 91 seulement / only : 0800-1100, 1300-1700. Paiement par chèque, carte de crédit ou en espèces / Cheques, credit card or cash payment."
LFDE,EGLETONS,UL91,10 - AVT : Carburant / Fuel: UL 91 HX. Paiement comptant carte bancaire uniquement / Card only. Gestion Aéroclub / ACB management : TEL : 05 55 93 09 50. Lubrifiant / Lubricant: NIL.
LFDP,SAINT PIERRE D'OLERON,100LL|SUPER_PLUS,10 - AVT : Carburants / Fuel : 100LL. Lubrifiants / Lubricants : 80 D (CIV) HX. Automate TOTAL / TOTAL dispenser. SP 98 au / at club ULM. Paiement espèces ou chèques / Payment cash or cheques .
LFDT,TARBES LALOUBERE,100LL|UL91,"10 - AVT : Carburants / Fuel TOTAL 100 LL et / and UL 91: station automatique de paiement par carte TOTAL ou aux heures d'ouvertures de l'aéroclub de Bigorre par carte bancaire (VISA, MASTERCARD) / automatic dispenser by TOTAL card or during ACB de Bigorre SKED by credit card (VISA, MASTERCARD)."
LFDV,COUHE VERAC,100LL|SUPER_PLUS,← 10 - AVT : Carburant / Fuel : 100 LL - SP98 - O/R ACB. Lubrifiant / Lubricant : NIL.
LFFL,BAILLEAU ARMENONVILLE,100LL|UL91,10 - AVT : Carburant / Fuel AVGAS 100LL et AVGAS UL91. Lubrifiant / Lubricant : qualité aviation / aviation quality. Réservé aux ACFT basés / Reserved for home-based ACFT.
LFFZ,SEZANNE SAINT REMY,100LL|UL91,"10 - AVT : Carburant / Fuel : 100 LL, UL 91 - HX. Paiement comptant chèque ou espèce / Payment : cheque or cash."
LFGI,DIJON DAROIS,100LL|JET_A1|SUPER_PLUS,"10 - AVT : Carburant / Fuel : 100LL : AIR TOTAL : carte de crédit TOTAL ou paiement comptant à l'ACB / TOTAL credit card or cash payment to the ACB. JET A1, 100LL, SP95 : AVIA TEL : 06 49 75 14 88. Règlement possible par carte bancaire / possible payment by credit card."
LFGM,MONTCEAU LES MINES POUILLOUX,100LL|UL91,"10 - AVT : Carburant / Fuel: 100 LL Automate avec carte de crédit TOTAL H 24 / Automatic dispenser with TOTAL credit card H24. UL 91, Lubrifiant / Lubricant: 80 - 100 W : 0800-1500 tous les jours (été), sauf mardi (hiver). Réglement par CB, chèques ou espèces / 0800-1500 every day (summer), except t"
LFHC,PEROUGES MEXIMIEUX,UL91,10 - AVT : Carburant / Fuel : UL91 (CIV-MIL) HX. Paiement comptant / Cash payment TEL : 04 27 41 01 43. Quantité limitée / Limited amount.
LFHN,BELLEGARDE VOUVRAY,100LL|UL91,"10 - AVT : 100 LL / UL 91 - Paiement comptant cash ou chèque à l'ACB, par CB sur rendez-vous avec l'ACB. Cash payment or cheque to ACB, credit cards by appointment with ACB."
LFHS,BOURG CEYZERIAT,100LL|UL91,"10 - AVT : AVGAS 100 LL et UL 91 H24 par carte TOTAL, ou bureau de piste par chèque, espèces et CB. AVGAS 100 LL and UL 91 H24 by TOTAL card, or cheque, cash or credit card in reporting office. HOR / SKED : 0900-1600."
LFIT,TOULOUSE BOURG SAINT BERNARD,UL91,10 - AVT : Carburant / Fuel : UL 91. Lubrifiant / Lubricant : NIL. HX réservé aux ACFT basés / reserved for home based ACFT.
LFJY,CHAMBLEY,100LL|JET_A1|UL91,"← 10 - AVT : 100 LL : Paiements cartes TOTAL H24 / Payment TOTAL card H24. 100 LL, UL91 : O/R paiements par CB, cash, chèque / O/R payments by credit card, cash, cheque. JET A1 : Paiements / payments CB H24. O/R paiements par cash, chèque / O/R payments by cash, cheque. TEL : 03 29 89 30 10 ou / or "
LFLG,GRENOBLE LE VERSOUD,100LL|JET_A1|UL91,"10 - AVT : Carburant / Fuel : AVGAS 100LL - UL91 - JET A1. Lubrifiant / Lubricant : NIL. Libre service : H24 avec les cartes Air BP, Sterling Card pour AVGAS 100LL - UL91 - JET A1. H24 avec CB VISA et MASTERCARD pour UL91 uniquement. Service par agent avitailleur : AVGAS 100LL et JET A1 uniquement. "
LFLO,ROANNE,100LL|JET_A1|UL91,"← 10 - AVT : Carburants / Fuel : 100 LL, Jet A1, UL91 HOR AFIS / AFIS SKED Lubrifiants / Lubricants : NIL Paiement comptant, cartes bancaires, chèques / Cash, credit cards, cheques. Tous carburants / All fuels : CB H24 Exonération TIC uniquement en présence de RFFS / TIC exemption only in the presen"
LFLQ,MONTELIMAR ANCONE,UL91,"← 10 - AVT : AVGAS UL 91. HX : voir / see ACB de Montélimar. Quantité limitée / Limited quantities . Paiement comptant ou carte bancaire. Cash payment or credit card. Approvisionnement entre 0900 et 1700, uniquement sur RDV fixé la veille au 06 95 46 87 14 Refuelling : between 0900 and 1700, only wi"
LFLY,LYON BRON,100LL|JET_A1|SUPER_PLUS|UL_AERO,"← 10 - AVT : Carburants / Fuel : UL AERO SUPER+ - 100 LL - JET A1 (TOTAL Energies et / and Air BP). 0630-2230, carte crédit, Eurochèques ou paiement comptant. Société SCAL : Hors HOR ouverture, TEL : 06 34 53 30 58 Carte TOTAL à la station 100LL : H24. JET A1 : TOTAL ou BP (Carte TOTAL ou Carte Ster"
LFMP,PERPIGNAN RIVESALTES,100LL|JET_A1|SUPER_PLUS|UL_AERO,"10 - AVT : Carburant / Fuel : JET A1. 100LL/AVGAS et / and UL AERO SUPER + par automate en zone sud, proche hangar SABENA (roulettes indispensables pour hélicoptères) / by fuel dispenser in south area, close to hangar SABENA (necessary wheels for HEL). LUN-SAM / MON-SAT : 0500-2000, DIM / SUN : 0630"
LFMV,AVIGNON CAUMONT,100LL|JET_A1|SUPER_PLUS|UL_AERO,"10 - AVT : Carburants / Fuel : AVGAS 100 LL - UL AERO SUPER+ - JET A1 – Lubrifiants / Lubricants : NIL. LUN-VEN / MON-FRI : ETE / SUM : 0500-1900, HIV / WIN : 0600-1930. SAM / SAT : 0630-1730. DIM / SUN : 0730-1830. Automate / Dispenser AVGAS 100LL (envergure MAX / MAX span 15 m) - UL AERO SUPER+ (e"
