icao,name,fuels,availability,lat,lon,fuel_section,error
LFAB,DIEPPE SAINT AUBIN,100LL|JET_A1,100LL=restricted|JET_A1=restricted,49.882500,1.085278,"← 10 - AVT : Carburant : 100 LL - JET A1 De mi-mars à mi-novembre : tous les jours 0800-1800. En dehors de cette période, PPR auprès de ""Air Libre Parachutisme"". Paiement comptant par CB ou espèces. Fuel : 100 LL - JET A1 From mid-March to mid-November : every day 0800-1800. Outside this period, PPR from ""Air Libre Parachutisme"". Payment by credit card or cash.",
LFAC,CALAIS DUNKERQUE,100LL|JET_A1,100LL=self_service|JET_A1=self_service,50.960833,1.951389,"← 10 - AVT : H24 avec carte bancaire / H24 with credit card. Carburants / Fuel : 100 LL - JET A1 Paiement : espèces, chèque. HOR HIV : 0800-1700, ETE : 0700-1630. Payment : cash, bank check. HOR WIN : 0800-1700, SUM : 0700-1630.",
LFAD,COMPIEGNE MARGNY,100LL,100LL=restricted,49.433611,2.804722,← 10 - AVT : Carburant / Fuel : 100LL (gestion par / managed by ACB de Compiègne Margny). HX sauf MAR et MER / except TUE and WED O/R ACB de Compiègne Margny.,
LFAE,EU MERS LE TREPORT,UL91,UL91=restricted,50.069167,1.426667,10 - AVT : AVGAS UL91 : réservé aux ACFT basés / reserved for based ACFT .,
LFAF,LAON CHAMBRY,100LL,100LL=self_service,49.594722,3.630278,"10 - AVT : Carburants / Fuel : 100 LL, H 24 Carte TOTAL.",
LFAG,PERONNE SAINT QUENTIN,,,49.868889,3.029722,10 - AVT : NIL.,
LFAI,NANGIS LES LOGES,100LL,100LL=restricted,48.596944,3.008056,"10 - AVT : Carburant / Fuel : 100 LL, Lubrifiant / Lubricant : 80 D - 100 D (CIV) HJ.",
LFAJ,ARGENTAN,100LL,100LL=restricted,48.709444,0.002778,10 - AVT : Carburants / Fuel : 100LL - Lubrifiant / Lubricant : NIL (CIV) O/R la veille à / the day before to ACB. Paiement comptant / Cash payment.,
LFAK,DUNKERQUE LES MOERES,100LL,100LL=unknown,51.039444,2.548889,"10 - AVT : Carburant / Fuel 100 LL Disponible sur présence personnel uniquement. Paiement par CB, chèque, espèces. Available on personal presence only. Payment by CB card, cheque, cash.",
LFAL,LA FLECHE THOREE LES PINS,100LL,100LL=restricted,47.692778,-0.001944,10 - AVT : Carburant / Fuel : 100 LL sur/ with PPR ACB. (CIV - MIL) Paiement comptant / Cash payment.,
LFAM,BERCK SUR MER,100LL,100LL=restricted,50.423056,1.591944,10 - AVT : Carburant / Fuel : 100LL auprès de l'ACB / contact ACB.,
LFAO,BAGNOLES DE L'ORNE COUTERNE,100LL,100LL=unknown,48.544722,-0.385000,"10 - AVT : Carburants / Fuel : 100 LL - Lubrifiants / Lubricants : NIL. Délivrance du carburant par ACB d'Andaines / Fuel dispatching by ""ACB d'Andaines"". Paiement chèque ou espèces uniquement / Cash payment or cheques only.",
LFAP,RETHEL PERTHES,,,49.481111,4.363333,10 - AVT : NIL.,
LFAQ,ALBERT BRAY,100LL|JET_A1,100LL=self_service|JET_A1=restricted,49.970000,2.692500,"10 - AVT : Carburant / Fuel : 100LL et / and JET A1. Payables par carte Sterling (Air BP - automat) ou par CB en HOR ATS. En dehors de ces horaires, sur PPR auprès de l'exploitant AD le jour ouvrable précédent avant 1000. Avitaillement JET A1 : Pendant HOR ATS, uniquement par camion sur parking E. Hors HOR ATS : PPR 2 HR exploitant. Avitaillement 100LL limité : pompe automatique sur parking B pour ACFT compatible TWY B. Payment by Sterling card (Air BP - automat) or by CB during ATS SKED. Outside these SKED, PPR from AD operator on the previous working day before 1000. JET A1 refuelling : During ATS SKED : only by truck on parking E. Outside ATS SKED : PPR 2 HR from AD operator. 100LL refuelling limited : automatic pump on parking B for ACFT compatible TWY B.",
LFAR,MONTDIDIER,,,49.673056,2.569167,10 - AVT : NIL.,
LFAS,FALAISE MONTS D'ERAINES,100LL,100LL=restricted,48.926944,-0.144722,10 - AVT : Carburant / Fuel : 100 LL - (CIV-MIL) HX : paiement comptant / cash payment.,
LFAT,LE TOUQUET ELIZABETH II,100LL|JET_A1,100LL=self_service|JET_A1=restricted,50.514722,1.627500,"10 - AVT : Carburants / Fuel : 100LL- JET A1 / TRO, Lubrifiants / Lubricants : tous indices / all grades (CIV-MIL) HOR ATS. Oxygène sur demande. Vente de produits de dégivrage / Oxygen on request. Sale of deicing products. JET A1 Carte TOTAL/AEG/WFS ou paiement comptant au comptoir / TOTAL/AEG/WFS credit card or cash payment. AVGAS 100LL paiement comptant au comptoir ou automate / cash payment or TOTAL credit card. AVGAS (100LL) H24 : Est parking, pompe automatique, paiement uniquement par carte TOTAL / East apron, automatic fuel pump, payment only with TOTAL credit card.",
LFAU,VAUVILLE,,,49.622778,-1.830000,10 - AVT : NIL.,
LFAV,VALENCIENNES DENAIN,100LL|JET_A1,100LL=unknown|JET_A1=unknown,50.324722,3.465556,"10 - AVT : Carburants / Fuel : (AIR BP) 100 LL-JET A1. (CIV-MIL) Paiement comptant, carte BP / Cash payment, BP card. Lubrifiants / Lubricants : NIL.",
LFAW,VILLERUPT,,,49.410556,5.889167,10 - AVT : Carburants / Fuel : 100/130 - Lubrifiant / Lubricant : 100/120 (CIV). Réservé aux aéronefs basés / Reserved for home-based ACFT.,
LFAX,MORTAGNE AU PERCHE,,,48.539722,0.534167,10 - AVT : NIL.,
LFAY,AMIENS GLISY,100LL,100LL=self_service,49.873056,2.386944,10 - AVT : 100 LL : paiement par carte Total (automate). Autres paiements acceptés CB et espèces à l'ACB de Picardie. TEL ACB. 100 LL : Payment by Total card (automatic dispenser). Other payments accepted credit card and cash to Picardie ACB. TEL ACB.,
LFBA,AGEN LA GARENNE,100LL|JET_A1,100LL=self_service|JET_A1=self_service,44.174722,0.590556,"← 10 - AVT : Carburants / Fuel : 100LL, JET A1 (CIV-MIL) Lubrifiants / Lubricants : NIL. Automate H24 avec carte TOTAL uniquement ou possibilité d'assistance pendant HOR RFFS. En dehors des HOR RFFS : possibilité d'assistance PPR 48 HR. Automatic dispenser with TOTAL credit card only or possible support during RFFS SKED. Outside RFFS SKED : possible support PPR 48 HR.",
LFBD,BORDEAUX MERIGNAC,100LL,100LL=self_service,44.828611,-0.715278,"← 10 - AVT : Carburants / Fuel : (CIV-MIL) 100 LL-TRO TOTAL : AVGAS 100LL (par automate aire JULIET / via dispenser JULIET area ). Lubrifiants / Lubricants : 100 - 120 - D100 - Turbo oil 23/80 et / and 274 (MIL) MIL : O/R durant ouverture BA 106 / During AFB 106 activity : Carburants / Fuel : F34 - Lubrifiants / Lubricants : NIL. © Service de l'Information Aéronautique, France AMDT 03/26 AD 2 LFBD TXT 04 AIP FRANCE 19 FEB 2026 BORDEAUX MERIGNAC",
LFBE,BERGERAC DORDOGNE PERIGORD,100LL|JET_A1,100LL=self_service|JET_A1=self_service,44.824444,0.520556,"10 - AVT : Carburants / Fuel : 100 LL : automate H24 - JET A1 (CIV-MIL) : ETE / SUM : 0700-1600, HIV / WIN : 0800-1600. TEL : 05 53 22 25 23 - FAX : 05 53 24 35 43. Paiement par carte de crédit ou carte WFS. Payment by credit card or WFS card.",
LFBF,TOULOUSE FRANCAZAL,JET_A1,JET_A1=restricted,43.549167,1.357222,"10 - AVT : Carburants / Fuel : Jet A1 : LUN-VEN / MON-FRI : 0700-1630, SAM-DIM-JF / SAT-SUN-HOL : O/R Pour tout avitaillement contacter le RFFS / For fuelling, contact RFFS. Paiement CB, cartes AEG ou WFS, fuel release AEG ou WFS. / Payment by credit card, AEG or WFS cards, AEG or WFS fuel release .",
LFBG,COGNAC CHATEAUBERNARD,,,45.658333,-0.317500,10 - AVT : Carburant / Fuel : F18 - F34 - F35 O/R Lubrifiants / Oil : O135 - O155 - H515 HOR ATS et permanence téléphonique 30 MIN / ATS SKED and duty phone 30 MIN,
LFBH,LA ROCHELLE ILE DE RE,100LL|JET_A1,100LL=restricted|JET_A1=restricted,46.179167,-1.195278,"10 - AVT : Carburants / Fuel : 100LL, JET A1. ETE : LUN-VEN : 0500-1000, 1200-1730 - SAM, DIM, JF : 0700-1000, 1200-1730. SUM : MON-FRI : 0500-1000, 1200-1730 - SAT, SUN, public HOL : 0700-1000, 1200-1730. HIV / WIN : 0800-1100, 1300-1730. Sans interruption pour les vols commerciaux programmés / Non stop for scheduled commercial flights. AVT 100LL non assuré pour les hélicoptères à moteur piston / Not provided for helicoters with piston engine. TEL : 05 46 42 86 69 ou / or 06 30 24 30 87 E-mail : avitailleur@larochelle.aeroport.fr",
LFBI,POITIERS BIARD,JET_A1,JET_A1=self_service,46.587500,0.306667,"← 10 - AVT : Carburant / Fuel : SEALAPB / Air BP. JET A1 (CIV-MIL) : HOR voir NOTAM. En dehors de ces HOR et pour vols commerciaux assistés uniquement, sur PPR 24 HR. - AVGAS : idem JET A1 sauf carte Air BP avec code pour le distributeur automatique. JET A1 (CIV - MIL) : SKED see NOTAM. Outside these SKED and for commercial flights with handling only, PPR 24 HR. - AVGAS : the same as for JET A1 except Air BP payment card for the automatic dispenser. TEL : 05 49 30 04 46 / 06 29 80 04 56 - FAX : 05 49 88 58 70. Paiement : carte AIR BP, CB VISA, Mastercard. Autres cartes sur autorisation AIR BP. Payment : AIR BP card, VISA card, Mastercard. Other cards on AIR BP authorization.",
LFBJ,SAINT JUNIEN,,,45.902500,0.918889,10 - AVT : NIL.,
LFBK,MONTLUCON GUERET,100LL,100LL=self_service,46.226111,2.362778,10 - AVT : Carburants / Fuel : 100 LL Automate par carte TOTAL H24. Automatic dispenser by TOTAL card.,
