icao,name,fuels,availability,lat,lon,fuel_section
LFAE,EU MERS LE TREPORT,UL91,UL91=restricted,50.069167,1.426667,10 - AVT : AVGAS UL91 : réservé aux ACFT basés / reserved for based ACFT .
LFBY,DAX SEYRESSE,100LL|UL91,100LL=restricted|UL91=restricted,43.689167,-1.068889,10 - AVT : Carburants sur demande / Fuel on request : MIL : F34 - CIV : 100 LL - UL 91 Paiement / Payment : - MIL : Carte SCALP / SCALP Card  05 58 35 93 34 - CIV : Espèces ou chèque bancaire / Cash or cheque  05 58 74 14 20
LFCH,ARCACHON LA TESTE DE BUCH,100LL|JET_A1|UL_AERO,100LL=self_service|JET_A1=restricted|UL_AERO=self_service,44.596944,-1.113889,"← 10 - AVT : Carburant / Fuel : UL AERO SUPER+, 100LL, JET A1. AVT automatique disponible avec carte TOTAL et CB (uniquement 100LL et AERO SUPER+). Automatic fuel dispenser available with TOTAL card and Credit Card (only for 100LL and AERO SUPER+). Non porteurs de carte, contacter la TWR pendant les HOR suivants : Non-card holders, contact TWR during the following SKED : 15 APR - 15 SEP : 0830-1045, 1300-1700 16 SEP - 14 APR : 0800-1045, 1315-1530."
LFCL,TOULOUSE LASBORDES,100LL|UL91,100LL=self_service|UL91=self_service,43.587778,1.498611,"← 10 - AVT : 100 LL, UL91 H24 par carte TOTAL ou carte bancaire / H24 for TOTAL or credit card."
LFCS,BORDEAUX LEOGNAN SAUCATS,100LL|UL91,100LL=restricted|UL91=restricted,44.699167,-0.597222,10 - AVT : 100 LL/UL 91 PPR 06 77 63 68 41. Carte de crédit / Credit card Lubrifiants / Lubricants : NIL.
LFCU,USSEL THALAMY,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,45.535833,2.424722,"10 - AVT : Carburant / Fuel 100 LL. SP 98 HX. Paiement comptant ou par chèque / Cheque or cash payment. PPR pour la délivrance des carburants et paiement comptant, chèque ou carte bleue. PPR for fuel delivery and cash payment, cheque or credit card."
LFCV,VILLEFRANCHE DE ROUERGUE,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,44.368889,2.026944,"← 10 - AVT : Carburant / Fuel : 100LL, SP 98 - Lubrifiant / Lubricant : D 80 (CIV MIL). HJ sur / on PPR ACB."
LFDA,AIRE SUR L'ADOUR,UL91,UL91=restricted,43.708611,-0.247222,10 - AVT : Carburant / Fuel : UL91. TEL : 07 82 77 32 56. Paiement : Carte Bancaire / Payment : Credit Card.
LFDC,MONTENDRE MARCILLAC,UL91,UL91=restricted,45.273611,-0.453333,"10 - AVT : Carburant / Fuel UL 91 seulement / only : 0800-1100, 1300-1700. Paiement par chèque, carte de crédit ou en espèces / Cheques, credit card or cash payment."
LFDE,EGLETONS,UL91,UL91=restricted,45.420556,2.067778,10 - AVT : Carburant / Fuel: UL 91 HX. Paiement comptant carte bancaire uniquement / Card only. Gestion Aéroclub / ACB management : TEL : 05 55 93 09 50. Lubrifiant / Lubricant: NIL.
LFDT,TARBES LALOUBERE,100LL|UL91,100LL=self_service|UL91=self_service,43.215000,0.077500,"10 - AVT : Carburants / Fuel TOTAL 100 LL et / and UL 91: station automatique de paiement par carte TOTAL ou aux heures d'ouvertures de l'aéroclub de Bigorre par carte bancaire (VISA, MASTERCARD) / automatic dispenser by TOTAL card or during ACB de Bigorre SKED by credit card (VISA, MASTERCARD)."
LFDV,COUHE VERAC,100LL|SUPER_PLUS,100LL=restricted|SUPER_PLUS=restricted,46.270556,0.188333,← 10 - AVT : Carburant / Fuel : 100 LL - SP98 - O/R ACB. Lubrifiant / Lubricant : NIL.
LFFL,BAILLEAU ARMENONVILLE,100LL|UL91,100LL=restricted|UL91=restricted,48.514722,1.638611,10 - AVT : Carburant / Fuel AVGAS 100LL et AVGAS UL91. Lubrifiant / Lubricant : qualité aviation / aviation quality. Réservé aux ACFT basés / Reserved for home-based ACFT.
LFFZ,SEZANNE SAINT REMY,100LL|UL91,100LL=restricted|UL91=restricted,48.709444,3.762778,"10 - AVT : Carburant / Fuel : 100 LL, UL 91 - HX. Paiement comptant chèque ou espèce / Payment : cheque or cash."
LFGI,DIJON DAROIS,100LL|JET_A1|SUPER_PLUS,100LL=restricted|JET_A1=restricted|SUPER_PLUS=restricted,47.385278,4.946944,"10 - AVT : Carburant / Fuel : 100LL : AIR TOTAL : carte de crédit TOTAL ou paiement comptant à l'ACB / TOTAL credit card or cash payment to the ACB. JET A1, 100LL, SP95 : AVIA TEL : 06 49 75 14 88. Règlement possible par carte bancaire / possible payment by credit card."
LFGM,MONTCEAU LES MINES POUILLOUX,100LL|UL91,100LL=self_service|UL91=restricted,46.603333,4.332778,"10 - AVT : Carburant / Fuel: 100 LL Automate avec carte de crédit TOTAL H 24 / Automatic dispenser with TOTAL credit card H24. UL 91, Lubrifiant / Lubricant: 80 - 100 W : 0800-1500 tous les jours (été), sauf mardi (hiver). Réglement par CB, chèques ou espèces / 0800-1500 every day (summer), except tuesday (winter). CB, cash payment or cheque."
LFHC,PEROUGES MEXIMIEUX,UL91,UL91=restricted,45.868611,5.186111,10 - AVT : Carburant / Fuel : UL91 (CIV-MIL) HX. Paiement comptant / Cash payment TEL : 04 27 41 01 43. Quantité limitée / Limited amount.
LFHN,BELLEGARDE VOUVRAY,100LL|AKI93,100LL=restricted|AKI93=restricted,46.123333,5.804722,"← 10 - AVT : 100 LL / AKI (compatible Rotax). Paiement comptant cash ou chèque à l'ACB, par CB sur rendez-vous avec l'ACB. Cash payment or cheque to ACB, credit cards by appointment with ACB."
LFHQ,SAINT FLOUR COLTINES,100LL|AKI93,100LL=self_service|AKI93=self_service,45.075000,2.992500,"← 10 - AVT : Carburant / Fuel : 100 LL, AKI93 Présence d'un AUTOMATE CB uniquement (carte TOTAL non acceptée) / Automatic credit card machine (TOTAL card not accepted)."
LFHS,BOURG CEYZERIAT,100LL|UL91,100LL=self_service|UL91=self_service,46.205556,5.291667,"10 - AVT : AVGAS 100 LL et UL 91 H24 par carte TOTAL, ou bureau de piste par chèque, espèces et CB. AVGAS 100 LL and UL 91 H24 by TOTAL card, or cheque, cash or credit card in reporting office. HOR / SKED : 0900-1600."
LFIR,REVEL MONTGEY,UL91,UL91=restricted,43.480278,1.978889,"10 - AVT : Carburant / Fuel : 91 UL, O/R. TEL : 05 61 83 53 73. Paiement comptant / Cash Payment."
LFIT,TOULOUSE BOURG SAINT BERNARD,UL91,UL91=restricted,43.611111,1.724167,10 - AVT : Carburant / Fuel : UL 91. Lubrifiant / Lubricant : NIL. HX réservé aux ACFT basés / reserved for home based ACFT.
